ds,yhat,yhat_lower,yhat_upper
2000-01-01,2118.3086186901273,2006.3454925160545,2231.1062662109794
2001-01-01,2058.6960333489897,1948.7651406900095,2173.83348434046
2002-01-01,2051.136902460035,1947.4209298638887,2164.5367886843387
2003-01-01,2030.8208263913189,1909.2128505267483,2139.4679696344297
2004-01-01,1997.731132462885,1884.5283049909153,2103.075638928457
2005-01-01,1938.118547181814,1835.7416991699192,2053.9960166710175
2006-01-01,1930.559416339826,1821.6015722715392,2045.6158906029816
2007-01-01,1910.2433402837717,1797.2910260742274,2030.3604932349892
2008-01-01,1877.1536463560565,1764.7076810679364,1986.752259803984
2009-01-01,1817.5410612362275,1711.3530039460595,1935.211191894323
2010-01-01,1809.9819306462844,1698.5293542584839,1923.3054323024055
2011-01-01,1789.6659843379894,1681.0463590635745,1909.7203914027737
2012-01-01,1756.5797485058379,1651.1074509218686,1868.4741270624174
2013-01-01,1696.9986269132974,1582.8294962042426,1804.366045584761
2014-01-01,1689.4844202241086,1584.871745620865,1800.3425062112606
2015-01-01,1669.2416833943084,1544.9807505283522,1778.2376209401107
2016-01-01,1636.2299242918796,1521.1812674788664,1748.3570519290927
2017-01-01,1576.720283938706,1469.0527751237082,1692.59711883341
2018-01-01,1569.2638168060603,1460.7645355705913,1678.4973810424747
2019-01-01,1549.050404473622,1430.8952704615651,1658.425071405749
2020-01-01,1516.0633742615703,1406.2478497303007,1638.2894432550218
2021-01-01,1456.5537339486566,1343.8143154055817,1571.2244837643902
2022-01-01,1449.0972668160523,1335.6376005179682,1566.1306637260814
2022-12-31,1340.616725844023,1233.8113076724655,1457.5541875072556
2023-12-31,1256.7987761537447,1148.859008377613,1365.1146159864768
2024-12-31,1350.1410341705691,1241.8334026166276,1468.0537429644971
2025-12-31,1291.6428648449303,1183.7895527861679,1410.7744512963814
2026-12-31,1220.4501758539914,1111.4592052523794,1330.0751948150182
